2026-04-27 21:06:33 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .docx
2026-04-27 21:06:33 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .doc
2026-04-27 21:06:33 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .txt
2026-04-27 21:06:33 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .md
2026-04-27 21:06:33 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .markdown
2026-04-27 21:06:33 | INFO  | app.service.rag.document_loaders | init_default_loaders:335 | 初始化默认文档加载器完成
2026-04-27 21:06:33 | INFO  | app.service.rag.reranker | load_model:100 | 重排序模型加载: BAAI/bge-reranker-v2-m3 (模拟)
2026-04-27 21:06:33 | INFO  | app.service.rag.rag_service | initialize:116 | RAG 服务初始化完成
2026-04-27 21:06:33 | INFO  | app.service.register.service_initializer | initialize_cli_services:106 | RAG 服务初始化完成
2026-04-27 21:06:33 | INFO  | app.service.skills.skill_registry | initialize:168 | 技能注册表初始化完成
2026-04-27 21:06:33 | INFO  | app.service.skills.skill_loader | load_from_skill_md:132 | Loaded skill 'jingmai_product_publish' from SKILL.md (E:\workspace\skills\jingmai-putaway\jingmai-cli\resources\jingmai_product_publish\SKILL.md), content length=606 chars
2026-04-27 21:06:33 | INFO  | app.service.skills.skill_registry | register_skill:223 | Registered skill: jingmai_product_publish (automation)
2026-04-27 21:06:33 | INFO  | app.service.skills.skill_loader | load_from_skill_md:132 | Loaded skill 'ufo_actions' from SKILL.md (E:\workspace\skills\jingmai-putaway\jingmai-cli\resources\ufo_actions\SKILL.md), content length=11189 chars
2026-04-27 21:06:33 | INFO  | app.service.skills.skill_registry | register_skill:223 | Registered skill: ufo_actions (automation)
2026-04-27 21:06:33 | INFO  | app.service.skills.skill_loader | load_from_directory:87 | Loaded 2 skills from E:\workspace\skills\jingmai-putaway\jingmai-cli\resources
2026-04-27 21:06:33 | INFO  | app.service.register.service_initializer | initialize_cli_services:136 | 技能注册表初始化完成，已加载 2 个技能
2026-04-27 21:06:33 | INFO  | app.service.register.service_initializer | initialize_cli_services:141 | CLI 服务初始化完成
2026-04-27 21:06:33 | ERROR | __main__ | _run:266 | 运行任务失败: No module named 'exceptions'
2026-04-27 21:06:33 | INFO  | dependencies.database | close:136 | 数据库连接已关闭
2026-04-27 21:26:43 | INFO  | app.service.llm.ollama_provider | __init__:63 | Ollama Provider 初始化成功: qwen3-vl:32b
2026-04-27 21:26:43 | INFO  | app.service.llm.router | _initialize_providers:56 | 初始化 LLM 提供者: qwen3-vl:32b
2026-04-27 21:26:44 | INFO  | app.service.llm.ollama_provider | __init__:63 | Ollama Provider 初始化成功: qwen3-vl:32b-instruct
2026-04-27 21:26:44 | INFO  | app.service.llm.router | _initialize_providers:56 | 初始化 LLM 提供者: qwen3-vl:32b-instruct
2026-04-27 21:26:45 | INFO  | app.service.llm.ollama_provider | __init__:63 | Ollama Provider 初始化成功: qwen3-vl:32b-instruct
2026-04-27 21:26:45 | INFO  | app.service.llm.manager | initialize:44 | LLM 管理器初始化成功
2026-04-27 21:26:45 | INFO  | app.service.register.service_initializer | initialize_cli_services:62 | LLM 管理器初始化完成
2026-04-27 21:26:46 | INFO  | app.service.agents.factory | _initialize_agents:57 | 初始化 Agent: UFOAgent
2026-04-27 21:26:46 | INFO  | app.service.agents.factory | _initialize_agents:57 | 初始化 Agent: RAGAgent
